date_published,id,type,country,country_code,name,status,admin_year,intersected_area_ha_cumulative,illegality_very_high_affected_area_ha,illegality_very_high_affected_area_pct,illegality_high_affected_area_ha,illegality_high_affected_area_pct,illegality_medium_affected_area_ha,illegality_medium_affected_area_pct,illegality_low_affected_area_ha,illegality_low_affected_area_pct,illegality_na_affected_area_ha,bbox_minx,bbox_miny,bbox_maxx,bbox_maxy
2026-09-22,EC_14,subnational_admin,Ecuador,EC,MORONA SANTIAGO,,202503,1014.3,24.7,0.024,229.88,0.227,539.19,0.532,220.52,0.217,0.01,-78.953893852,-3.5877498629,-76.6920897757,-1.4485003072
2026-09-22,EC_15,subnational_admin,Ecuador,EC,NAPO,,202503,2247.77,0.0,0.0,771.01,0.343,244.79,0.109,1231.96,0.548,0.01,-78.4299230944,-1.2488162497,-77.0228276246,0.0340076524
2026-09-22,EC_22,subnational_admin,Ecuador,EC,ORELLANA,,202503,2212.04,0.0,0.0,2104.16,0.951,0.63,0.0,107.25,0.048,0.0,-77.6286906835,-1.5634066376,-75.187146747,-0.0452995028
2026-09-22,EC_21,subnational_admin,Ecuador,EC,SUCUMBÍOS,,202503,1131.7,0.0,0.0,645.37,0.57,140.39,0.124,345.93,0.306,0.01,-77.9787530935,-0.6560113384,-75.2234000965,0.6624800474
2026-09-22,EC_19,subnational_admin,Ecuador,EC,ZAMORA CHINCHIPE,,202503,4992.56,38.7,0.008,1384.28,0.277,1320.16,0.264,2249.41,0.451,0.01,-79.4276694767,-5.0156170581,-78.3651995639,-3.3434056608
2026-09-22,GY_GY01,subnational_admin,Guyana,GY,Barima-Waini,,202503,30998.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30998.04,-60.725906,6.980433,-58.785369,8.557562
2026-09-22,GY_GY07,subnational_admin,Guyana,GY,Cuyuni-Mazaruni,,202503,107763.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107763.06,-61.393867,5.145704,-58.575931,7.232441
2026-09-22,GY_GY04,subnational_admin,Guyana,GY,Demerara-Mahaica,,202503,327.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.6,-58.307918,6.096466,-57.88285,6.835969
2026-09-22,GY_GY06,subnational_admin,Guyana,GY,East Berbice-Corentyne,,202503,9.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.03,-58.50885,1.456447,-56.480766,6.32515
2026-09-22,GY_GY03,subnational_admin,Guyana,GY,Essequibo Islands-West Demerara,,202503,1692.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1692.42,-58.833,6.114797,-58.178527,7.11334
2026-09-22,GY_GY02,subnational_admin,Guyana,GY,Pomeroon-Supenaam,,202503,20.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.63,-59.179218,6.751706,-58.466087,7.704515
2026-09-22,GY_GY08,subnational_admin,Guyana,GY,Potaro-Siparuni,,202503,25757.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25757.74,-60.163257,3.992063,-58.274421,5.734025
2026-09-22,GY_GY10,subnational_admin,Guyana,GY,Upper Demerara-Berbice,,202503,8681.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8681.59,-58.875598,4.607182,-57.589839,6.502366
2026-09-22,GY_GY09,subnational_admin,Guyana,GY,Upper Takutu-Upper Essequibo,,202503,1279.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1279.47,-59.991035,1.171398,-57.930919,4.521605
2026-09-22,GF_GF1,subnational_admin,Guyana_Francesa,GF,Cayenne,,202503,7775.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7775.74,-53.5377637579,2.1680717753,-51.6190405207,5.5688657872
2026-09-22,GF_GF2,subnational_admin,Guyana_Francesa,GF,Saint-Laurent-du-Maroni,,202503,16582.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16582.86,-54.6023356517,2.1113058625,-53.0526831276,5.747773265
2026-09-22,PE_01,subnational_admin,Peru,PE,AMAZONAS,,202503,0.0,,,,,,,,,0.0,-78.712120738,-6.98675935,-77.132302736,-2.986125096
2026-09-22,PE_06,subnational_admin,Peru,PE,CAJAMARCA,,202503,6.29,0.0,0.0,6.29,1.0,0.0,0.0,0.0,0.0,0.0,-79.458451114,-7.763460975,-77.741371612,-4.623873098
2026-09-22,PE_08,subnational_admin,Peru,PE,CUSCO,,202503,2544.56,0.0,0.0,82.13,0.032,543.89,0.214,1918.53,0.754,0.01,-73.980936984,-15.457504233,-70.34507198,-11.212293479
2026-09-22,PE_10,subnational_admin,Peru,PE,HUANUCO,,202503,3406.0,27.42,0.008,1972.64,0.579,689.22,0.202,716.54,0.21,0.18,-77.317486362,-10.488806603,-74.525351234,-8.3051697119
2026-09-22,PE_16,subnational_admin,Peru,PE,LORETO,,202503,895.24,5.85,0.007,222.82,0.249,309.78,0.346,356.77,0.399,0.02,-77.825957987,-8.7151913837,-69.949039355,-0.038605968
2026-09-22,PE_17,subnational_admin,Peru,PE,MADRE DE DIOS,,202503,159586.65,1253.26,0.008,35901.22,0.225,48359.23,0.303,74062.27,0.464,10.67,-72.428738732,-13.341716856,-68.652279103,-9.8733933325
2026-09-22,PE_20,subnational_admin,Peru,PE,PIURA,,202503,71.92,0.0,0.0,71.92,1.0,0.0,0.0,0.0,0.0,0.0,-81.328195365,-6.3720801,-79.209873863,-4.083128847
2026-09-22,PE_21,subnational_admin,Peru,PE,PUNO,,202503,2350.55,8.21,0.003,690.01,0.294,229.65,0.098,1422.56,0.605,0.12,-71.118091731,-17.295466734,-68.814216853,-13.003925856
2026-09-22,PE_22,subnational_admin,Peru,PE,SAN MARTIN,,202503,11.68,0.0,0.0,11.68,1.0,0.0,0.0,0.0,0.0,0.0,-77.775147987,-8.796294977,-75.48718761,-5.406899098
2026-09-22,PE_25,subnational_admin,Peru,PE,UCAYALI,,202503,206.52,0.0,0.0,135.37,0.655,0.0,0.0,71.15,0.345,0.0,-75.9478860177,-11.44834198,-70.49441698,-7.262049475
2026-09-22,SR_SR01,subnational_admin,Suriname,SR,Brokopondo,,202503,47969.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47969.13,-55.5212554923,4.0144782065,-54.7263603202,5.3651318554
2026-09-22,SR_SR04,subnational_admin,Suriname,SR,Marowijne,,202503,1915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1915.0,-54.7379798884,5.2330451017,-53.9840965264,5.9818048478
