id,admin_country,admin_country_code,admin_name_field,admin_id_field,intersected_area_ha
BO_BO02,Bolivia,BO,Guanay,BO020602,51.02251236397334
BO_BO02,Bolivia,BO,Inquisivi,BO021001,27.120625120621984
BO_BO02,Bolivia,BO,Ixiamas,BO021501,54.54732502968459
BO_BO02,Bolivia,BO,Mapiri,BO020607,514.7855615046362
BO_BO02,Bolivia,BO,Tacacoma,BO020603,0.05323417484084646
BO_BO02,Bolivia,BO,Teoponte,BO020608,95.165723738184
BO_BO03,Bolivia,BO,Chimoré,BO031204,89.42075665320698
BO_BO03,Bolivia,BO,Entre Ríos,BO031206,82.37207039523912
BO_BO03,Bolivia,BO,Puerto Villarroel,BO031205,192.44191486682672
BO_BO03,Bolivia,BO,Shinahota,BO031602,82.61681359420116
BO_BO03,Bolivia,BO,Villa Tunari,BO031003,179.09180250197315
BO_BO07,Bolivia,BO,Yapacaní,BO070403,109.6236755067982
BO_BO08,Bolivia,BO,Baures,BO080802,27.355164274357364
BO_BO08,Bolivia,BO,Exaltación,BO080402,41.349538227887116
BO_BO08,Bolivia,BO,Guayaramerín,BO080202,41.36533565253901
BO_BO08,Bolivia,BO,Magdalena,BO080801,54.8474714093655
BO_BO08,Bolivia,BO,Puerto Siles,BO080703,41.27268372952222
BO_BO08,Bolivia,BO,Reyes,BO080301,19.1940558857572
BO_BO08,Bolivia,BO,Riberalta,BO080201,82.7791517328937
BO_BO08,Bolivia,BO,San Ignacio,BO080501,139.8732213465772
BO_BO08,Bolivia,BO,San Javier,BO080102,27.505777548328474
BO_BO08,Bolivia,BO,San Joaquín,BO080701,44.47641754701231
BO_BO08,Bolivia,BO,Santa Rosa,BO080303,7.91109802602485
BO_BO08,Bolivia,BO,TIOC-TIM,BO080901,27.59333248474399
BO_BO08,Bolivia,BO,Trinidad,BO080101,27.505466954913288
BO_BO09,Bolivia,BO,Bella Flor,BO090104,27.27616366550388
BO_BO09,Bolivia,BO,Nueva Esperanza,BO090501,234.31243722436798
BO_BO09,Bolivia,BO,Puerto Rico,BO090201,40.84310010176938
BR_11,Brasil,BR,Alto Paraíso,1100403,72.40267668004799
BR_11,Brasil,BR,Ariquemes,1100023,6178.194587482343
BR_11,Brasil,BR,Cacoal,1100049,16.569881443616115
BR_11,Brasil,BR,Campo Novo de Rondônia,1100700,2431.7029341837942
BR_11,Brasil,BR,Candeias do Jamari,1100809,29.510810465476908
BR_11,Brasil,BR,Chupinguaia,1100924,72.08117969732113
BR_11,Brasil,BR,Cujubim,1100940,190.4276808650869
BR_11,Brasil,BR,Espigão D'Oeste,1100098,888.116705856937
BR_11,Brasil,BR,Governador Jorge Teixeira,1101005,370.421588184952
BR_11,Brasil,BR,Guajará-Mirim,1100106,109.19418719699978
BR_11,Brasil,BR,Itapuã do Oeste,1101104,3676.907393138036
BR_11,Brasil,BR,Ji-Paraná,1100122,27.217860901185254
BR_11,Brasil,BR,Lábrea,1302405,1.0362376231609974e-13
BR_11,Brasil,BR,Machadinho D'Oeste,1100130,1185.2049872554285
BR_11,Brasil,BR,Ministro Andreazza,1101203,105.10270589492038
BR_11,Brasil,BR,Monte Negro,1101401,3968.658243062006
BR_11,Brasil,BR,Nova Mamoré,1100338,113.08260714754337
BR_11,Brasil,BR,Pimenta Bueno,1100189,108.61837025728701
BR_11,Brasil,BR,Porto Velho,1100205,5942.488039496917
BR_11,Brasil,BR,Presidente Médici,1100254,40.842786985860165
BR_11,Brasil,BR,Rio Crespo,1100262,2497.053084567097
BR_11,Brasil,BR,São Miguel do Guaporé,1100320,27.31606156476362
BR_11,Brasil,BR,Theobroma,1101609,173.57059055438106
BR_11,Brasil,BR,Vilhena,1100304,1391.1525694572547
BR_12,Brasil,BR,Bujari,1200138,29.327558929768664
BR_12,Brasil,BR,Cruzeiro do Sul,1200203,201.8036818868452
BR_12,Brasil,BR,Feijó,1200302,82.40773262274665
BR_12,Brasil,BR,Rio Branco,1200401,54.42980990262072
BR_13,Brasil,BR,Apuí,1300144,293.03333338470213
BR_13,Brasil,BR,Barcelos,1300409,389.6037411274647
BR_13,Brasil,BR,Boca do Acre,1300706,40.748811600375994
BR_13,Brasil,BR,Borba,1300805,503.5546522945119
BR_13,Brasil,BR,Canutama,1300904,41.24419975678328
BR_13,Brasil,BR,Careiro,1301100,93.22861334628885
BR_13,Brasil,BR,Coari,1301209,191.45759635003668
BR_13,Brasil,BR,Eirunepé,1301407,43.2498529686767
BR_13,Brasil,BR,Fonte Boa,1301605,27.045878148781902
BR_13,Brasil,BR,Humaitá,1301704,81.93018170940972
BR_13,Brasil,BR,Iranduba,1301852,340.6379768015652
BR_13,Brasil,BR,Itacoatiara,1301902,27.55779404525789
BR_13,Brasil,BR,Itaituba,1503606,0.0004146743078222269
BR_13,Brasil,BR,Itapiranga,1302009,30.697862348510967
BR_13,Brasil,BR,Jacareacanga,1503754,0.2893155610525516
BR_13,Brasil,BR,Japurá,1302108,3990.3203142082043
BR_13,Brasil,BR,Jutaí,1302306,1694.014980929878
BR_13,Brasil,BR,Lábrea,1302405,721.2432643484065
BR_13,Brasil,BR,Manacapuru,1302504,513.1268442683147
BR_13,Brasil,BR,Manaquiri,1302553,17.985148218786215
BR_13,Brasil,BR,Manaus,1302603,834.0642978221333
BR_13,Brasil,BR,Manicoré,1302702,1345.257583357739
BR_13,Brasil,BR,Maués,1302900,17947.61897869904
BR_13,Brasil,BR,Novo Aripuanã,1303304,3046.315923663305
BR_13,Brasil,BR,Parintins,1303403,109.2206046669161
BR_13,Brasil,BR,Porto Velho,1100205,3.575232175482635e-11
BR_13,Brasil,BR,Presidente Figueiredo,1303536,1167.5816925014417
BR_13,Brasil,BR,Rio Preto da Eva,1303569,303.8024562969613
BR_13,Brasil,BR,Santo Antônio do Içá,1303700,27.38768794803573
BR_13,Brasil,BR,Silves,1304005,10.494213882820834
BR_13,Brasil,BR,São Gabriel da Cachoeira,1303809,240.08971714564663
BR_13,Brasil,BR,Tapauá,1304104,233.30792005399115
BR_13,Brasil,BR,Urucará,1304302,261.3968683489204
BR_14,Brasil,BR,Alto Alegre,1400050,5171.828459489594
BR_14,Brasil,BR,Amajari,1400027,3101.3451388827493
BR_14,Brasil,BR,Barcelos,1300409,0.0
BR_14,Brasil,BR,Boa Vista,1400100,128.76435181682234
BR_14,Brasil,BR,Bonfim,1400159,56.24894247291898
BR_14,Brasil,BR,Cantá,1400175,266.32252313815627
BR_14,Brasil,BR,Caracaraí,1400209,180.8038124122347
BR_14,Brasil,BR,Iracema,1400282,7565.89712444015
BR_14,Brasil,BR,Mucajaí,1400308,4649.9455715262975
BR_14,Brasil,BR,Normandia,1400407,140.1689005391625
BR_14,Brasil,BR,Rorainópolis,1400472,162.78926931548108
BR_14,Brasil,BR,São João da Baliza,1400506,41.4616334992653
BR_14,Brasil,BR,Uiramutã,1400704,94.82631714492169
BR_14,Venezuela,VE,Ikabaru,VE070402,5.100965791377399
BR_15,Brasil,BR,Abaetetuba,1500107,841.2752404040352
BR_15,Brasil,BR,Acará,1500206,247.8655516837959
BR_15,Brasil,BR,Alenquer,1500404,61.00569816228064
