pt_id,admin_country,admin_country_code,admin_name_field,pt_intersected_area_ha
1,Bolivia,BO,San Ignacio,55.14289285618172
2,Bolivia,BO,Mapiri,94.70707814925322
24,Bolivia,BO,Magdalena,27.413614104279468
33,Bolivia,BO,San Javier,5.101490878449149
178,Bolivia,BO,Puerto Villarroel,21.317296289450447
202,Bolivia,BO,Nueva Esperanza,134.13997824629277
380,Brasil,BR,Almeirim,1624.6611054544928
389,Brasil,BR,Pedra Branca do Amapari,110.68217841605511
394,Brasil,BR,Manaus,72.25697339657049
396,Brasil,BR,Maués,4952.702442747244
397,Brasil,BR,Lábrea,238.38117114803566
397,Brasil,BR,Porto Velho,476.73490150101236
398,Brasil,BR,Calçoene,485.87277739194155
398,Brasil,BR,Oiapoque,123.3697092663902
398,Brasil,BR,Pedra Branca do Amapari,74.49973573323409
398,Brasil,BR,Serra do Navio,68.64961562322682
398,Brasil,BR,Tartarugalzinho,482.1514656530701
401,Brasil,BR,Oriximiná,1318.71534973744
404,Brasil,BR,Altamira,2566.725533643088
404,Brasil,BR,São Félix do Xingu,782.4784370073509
411,Brasil,BR,Itaituba,39.27006711990101
428,Brasil,BR,Xambioá,74.46935074244058
433,Brasil,BR,Parauapebas,18.88594070487216
454,Brasil,BR,Oiapoque,109.80914465155855
458,Brasil,BR,Presidente Figueiredo,29.147395509553633
460,Brasil,BR,Itaituba,3484.070103646303
460,Brasil,BR,Trairão,458.7209431564925
465,Brasil,BR,Jutaí,27.186210634663386
466,Brasil,BR,Caracaraí,27.151135152448884
467,Brasil,BR,Itapuã do Oeste,2081.3939464500395
469,Brasil,BR,Itaituba,27276.412518423687
469,Brasil,BR,Jacareacanga,1658.6255295659573
469,Brasil,BR,Maués,574.6786853332882
470,Brasil,BR,Manaus,303.433116681277
474,Brasil,BR,Jutaí,26.592787339984266
475,Brasil,BR,Maués,10.265657014996886
498,Brasil,BR,Caracaraí,27.26437120305579
510,Brasil,BR,Borba,406.96865447620434
512,Brasil,BR,Itaituba,7.040992706637383
512,Brasil,BR,Jacareacanga,12354.159874723899
535,Brasil,BR,Maués,299.66765699399116
540,Brasil,BR,Altamira,217.31488753261038
541,Brasil,BR,Manicoré,40.79134475471001
543,Brasil,BR,Manaus,27.04537737972271
551,Brasil,BR,Altamira,812.0600653461413
551,Brasil,BR,Itaituba,2077.4030862463947
551,Brasil,BR,Trairão,1374.0801299294794
555,Brasil,BR,Almeirim,544.9591726247443
568,Brasil,BR,Altamira,90.16859325067749
569,Brasil,BR,Itaituba,9929.134997274614
569,Brasil,BR,Novo Progresso,418.1605442891738
571,Brasil,BR,Óbidos,40.88856280643232
572,Brasil,BR,Itaituba,1937.323604668797
572,Brasil,BR,Trairão,579.3105010275955
579,Brasil,BR,Nova Bandeirantes,1359.260142288082
580,Brasil,BR,Colniza,41.30762253085658
581,Brasil,BR,Altamira,65.33397871186654
611,Brasil,BR,Canutama,35.916415694300944
617,Brasil,BR,Iranduba,195.34481583521193
617,Brasil,BR,Manacapuru,178.11281796454517
617,Brasil,BR,Manaus,3.047069657590932
635,Brasil,BR,Itaituba,178671.81219072023
635,Brasil,BR,Jacareacanga,34507.62620904292
635,Brasil,BR,Novo Progresso,3.0158725002031463
635,Brasil,BR,Trairão,78.1830133779238
643,Brasil,BR,Itaituba,20.945246236862282
643,Brasil,BR,Novo Progresso,2306.641534590308
648,Brasil,BR,Trairão,27.216420043993136
651,Brasil,BR,Itaituba,2213.1574490845637
651,Brasil,BR,Trairão,2316.5557160234107
653,Brasil,BR,Pindaré-Mirim,82.13622425781932
661,Brasil,BR,Ananindeua,67.68112925944389
661,Brasil,BR,Belém,0.009676713263440858
672,Brasil,BR,Alcântara,40.95323077040112
672,Brasil,BR,Carutapera,27.43955145825533
672,Brasil,BR,Cândido Mendes,240.30922431680125
672,Brasil,BR,Godofredo Viana,69.3738307087326
672,Brasil,BR,Luís Domingues,54.85346874391638
687,Brasil,BR,Ananindeua,10.592965591223718
687,Brasil,BR,Marituba,0.3953781739671916
706,Brasil,BR,Marabá,41.03183242000011
716,Brasil,BR,Parauapebas,61.34926061321164
735,Colombia,CO,Guainía,129.84610196153153
744,Colombia,CO,Cauca,27.480884557355747
899,Ecuador,EC,ARCHIDONA,82.82908499684225
909,Ecuador,EC,YANTZAZA,2.5360533373465124
934,Guyana_Francesa,GF,Roura,2701.443028456522
936,Guyana_Francesa,GF,Camopi,359.99197560949125
936,Guyana_Francesa,GF,Papaïchton,29.639533621538025
936,Guyana_Francesa,GF,Saül,61.47198468397226
940,Guyana_Francesa,GF,Saint-Élie,46.391615691889534
942,Guyana_Francesa,GF,Saint-Laurent-du-Maroni,1895.1755291815487
944,Guyana_Francesa,GF,Roura,103.050491911206
945,Guyana_Francesa,GF,Maripasoula,870.2861575234039
945,Guyana_Francesa,GF,Papaïchton,547.9067254699781
945,Guyana_Francesa,GF,Saül,130.94086073985127
