pt_id,admin_country,admin_country_code,admin_name_field,pt_intersected_area_ha
1,Bolivia,BO,San Ignacio,55.14289285618172
1,Bolivia,BO,Villa Tunari,27.585620437736747
2,Bolivia,BO,Mapiri,94.7070987577567
3,Bolivia,BO,Puerto Rico,40.843100101446396
9,Bolivia,BO,Shinahota,27.543670160298515
24,Bolivia,BO,Magdalena,54.84747140936548
33,Bolivia,BO,San Javier,5.101490878449149
178,Bolivia,BO,Puerto Villarroel,21.31729628945045
202,Bolivia,BO,Nueva Esperanza,147.916594265348
370,Brasil,BR,Oriximiná,54.868488491787794
380,Brasil,BR,Almeirim,2746.203210320054
389,Brasil,BR,Pedra Branca do Amapari,171.02571891939812
394,Brasil,BR,Manaus,72.25697339655213
396,Brasil,BR,Maués,8865.126279640022
397,Brasil,BR,Lábrea,252.14962942902264
397,Brasil,BR,Porto Velho,532.8828235796061
398,Brasil,BR,Calçoene,1386.633386892054
398,Brasil,BR,Mazagão,27.428100912482094
398,Brasil,BR,Oiapoque,390.3609328099024
398,Brasil,BR,Pedra Branca do Amapari,172.04955369277263
398,Brasil,BR,Serra do Navio,68.64961562322682
398,Brasil,BR,Tartarugalzinho,495.83410889346015
401,Brasil,BR,Oriximiná,1910.6450430746747
404,Brasil,BR,Altamira,2951.746860860683
404,Brasil,BR,São Félix do Xingu,1047.5692853078517
411,Brasil,BR,Itaituba,120.47209069257295
428,Brasil,BR,Xambioá,81.24163567958112
433,Brasil,BR,Parauapebas,33.22512294906463
438,Brasil,BR,Breves,54.39944835670395
438,Brasil,BR,Curralinho,0.1620717363540803
438,Brasil,BR,Soure,27.094006554653845
454,Brasil,BR,Calçoene,43.22798086190987
454,Brasil,BR,Oiapoque,192.14884087975975
458,Brasil,BR,Presidente Figueiredo,158.80085544950748
460,Brasil,BR,Itaituba,5552.715875799194
460,Brasil,BR,Trairão,1465.6051442627445
465,Brasil,BR,Jutaí,27.186210634663386
466,Brasil,BR,Caracaraí,27.151135152448887
467,Brasil,BR,Itapuã do Oeste,2520.944697432057
469,Brasil,BR,Itaituba,43030.02816860709
469,Brasil,BR,Jacareacanga,4140.541387264719
469,Brasil,BR,Maués,1110.442767081639
470,Brasil,BR,Manaus,303.43311713451186
474,Brasil,BR,Jutaí,26.592787339984266
475,Brasil,BR,Maués,23.66473473593092
486,Brasil,BR,Barcelos,41.18678687580462
498,Brasil,BR,Caracaraí,27.26437120305579
510,Brasil,BR,Borba,448.3626249484553
512,Brasil,BR,Itaituba,10.198141272267543
512,Brasil,BR,Jacareacanga,19973.273763153196
514,Brasil,BR,Altamira,81.34832948408761
519,Brasil,BR,Altamira,37.86813066541036
535,Brasil,BR,Maués,1148.8354774639229
540,Brasil,BR,Altamira,353.11267017137624
541,Brasil,BR,Manicoré,40.79134475471001
541,Brasil,BR,Novo Aripuanã,27.131155509018082
543,Brasil,BR,Manaus,54.09559445417314
550,Brasil,BR,Apuí,28.2614347278679
551,Brasil,BR,Altamira,947.2272026304062
551,Brasil,BR,Itaituba,2997.259704147764
551,Brasil,BR,Trairão,2684.0083888145746
555,Brasil,BR,Almeirim,1520.383055619954
568,Brasil,BR,Altamira,144.36522056152157
569,Brasil,BR,Itaituba,13163.479829441116
569,Brasil,BR,Novo Progresso,508.53783647368795
570,Brasil,BR,São Félix do Xingu,63.4083500689562
571,Brasil,BR,Óbidos,57.664481579526715
572,Brasil,BR,Itaituba,2286.7471746093997
572,Brasil,BR,Trairão,798.8728366297753
575,Brasil,BR,Cruzeiro do Sul,42.76234812154797
579,Brasil,BR,Nova Bandeirantes,2514.3827837113836
580,Brasil,BR,Colniza,96.37734895304021
581,Brasil,BR,Altamira,65.33397871186652
611,Brasil,BR,Canutama,35.916415694300944
617,Brasil,BR,Iranduba,251.58472623880343
617,Brasil,BR,Manacapuru,331.58681443638403
617,Brasil,BR,Manaus,3.047069657590932
635,Brasil,BR,Itaituba,276509.7779496071
635,Brasil,BR,Jacareacanga,52822.79949755807
635,Brasil,BR,Novo Progresso,6.7608676409667225
635,Brasil,BR,Trairão,139.57657697230584
637,Brasil,BR,Cláudia,5.138687004432622
643,Brasil,BR,Itaituba,50.31890520641904
643,Brasil,BR,Novo Progresso,9070.617857478728
648,Brasil,BR,Trairão,321.80634116201827
651,Brasil,BR,Itaituba,3688.342851765712
651,Brasil,BR,Trairão,3277.7060643028344
653,Brasil,BR,Monção,54.72749348340796
653,Brasil,BR,Pindaré-Mirim,102.66715534508097
653,Brasil,BR,Santa Helena,41.05041031860684
661,Brasil,BR,Ananindeua,67.68112925944389
661,Brasil,BR,Belém,0.009676713263440858
672,Brasil,BR,Alcântara,40.95323077040112
672,Brasil,BR,Carutapera,123.46850126932512
672,Brasil,BR,Cândido Mendes,286.7803833622253
672,Brasil,BR,Godofredo Viana,108.61691774399485
672,Brasil,BR,Luís Domingues,730.0001171529947
687,Brasil,BR,Ananindeua,10.592965591223718
687,Brasil,BR,Marituba,0.4812649048827948
706,Brasil,BR,Marabá,325.3342928321117
716,Brasil,BR,Parauapebas,62.27436118045427
735,Colombia,CO,Guainía,143.51672905862387
744,Colombia,CO,Cauca,33.777225910993984
899,Ecuador,EC,ARCHIDONA,82.82908499684225
899,Ecuador,EC,EL CHACO,27.601209999042474
909,Ecuador,EC,YANTZAZA,2.5360533373560226
934,Guyana_Francesa,GF,Roura,3924.344620068013
936,Guyana_Francesa,GF,Camopi,628.345052841491
936,Guyana_Francesa,GF,Maripasoula,24.10952824303216
936,Guyana_Francesa,GF,Papaïchton,73.17836040928647
936,Guyana_Francesa,GF,Saül,61.47198625750444
940,Guyana_Francesa,GF,Saint-Élie,46.39161574220019
942,Guyana_Francesa,GF,Saint-Laurent-du-Maroni,2476.9802061229075
944,Guyana_Francesa,GF,Roura,107.7978312021452
945,Guyana_Francesa,GF,Maripasoula,1321.5527692476894
945,Guyana_Francesa,GF,Papaïchton,961.3276748916118
945,Guyana_Francesa,GF,Saül,130.94086073985125
945,Suriname,SR,Sipaliwini,51.78528810875659
948,Guyana_Francesa,GF,Roura,29.435036818256314
951,Guyana_Francesa,GF,Papaïchton,291.4292813891509
956,Guyana,GY,Potaro-Siparuni,151.76771008016058
957,Guyana,GY,Potaro-Siparuni,25.422075136288196
959,Peru,PE,MANU,15.096350640907016
978,Peru,PE,UCAYALI,187.01841872470789
983,Peru,PE,REQUENA,228.2005814423711
983,Peru,PE,UCAYALI,574.0818361634663
987,Peru,PE,TAMBOPATA,1759.5764459048721
1005,Peru,PE,LA CONVENCION,67.82822144419711
1011,Peru,PE,LA CONVENCION,27.127972722632922
1013,Peru,PE,SATIPO,27.264924135767117
1021,Peru,PE,MARISCAL CACERES,136.0398388080826
1022,Peru,PE,MARISCAL CACERES,1.5515403853373344
1040,Peru,PE,PUERTO INCA,81.9774960820875
1041,Peru,PE,CARABAYA,27.44347941234838
1041,Peru,PE,TAMBOPATA,3691.21296671146
1059,Peru,PE,MARISCAL CACERES,110.05744734338535
1062,Peru,PE,MAYNAS,54.35683900574206
1065,Peru,PE,RIOJA,41.35287581963699
1070,Peru,PE,CORONEL PORTILLO,27.20541191553583
1073,Peru,PE,MANU,15421.852713711078
1073,Peru,PE,QUISPICANCHI,27.499308456186274
