id,admin_country,admin_country_code,admin_name_field,admin_id_field,intersected_area_ha
1,Bolivia,BO,San Ignacio,BO080501,55.14289285618172
1,Bolivia,BO,Villa Tunari,BO031003,68.91815645111677
2,Bolivia,BO,Mapiri,BO020607,94.70709875775668
3,Bolivia,BO,Puerto Rico,BO090201,40.843100101446396
9,Bolivia,BO,Shinahota,BO031602,27.543670160298515
13,Bolivia,BO,Ixiamas,BO021501,27.29148927883555
24,Bolivia,BO,Baures,BO080802,27.355164274357364
24,Bolivia,BO,Magdalena,BO080801,54.8474714093655
33,Bolivia,BO,San Javier,BO080102,5.101490878449149
178,Bolivia,BO,Puerto Villarroel,BO031205,21.31729628945045
202,Bolivia,BO,Nueva Esperanza,BO090501,147.91659421142617
370,Brasil,BR,Oriximiná,1505304,68.58510225810662
380,Brasil,BR,Alenquer,1500404,61.00569816228064
380,Brasil,BR,Almeirim,1500503,3037.7469461365
389,Brasil,BR,Pedra Branca do Amapari,1600154,279.58700830939836
394,Brasil,BR,Manaus,1302603,72.25697339655213
396,Brasil,BR,Maués,1302900,10856.038488813705
397,Brasil,BR,Lábrea,1302405,252.14963119895523
397,Brasil,BR,Porto Velho,1100205,532.8828237913306
398,Brasil,BR,Calçoene,1600204,2335.3678058307482
398,Brasil,BR,Mazagão,1600402,27.428100912482094
398,Brasil,BR,Oiapoque,1600501,894.3195364103918
398,Brasil,BR,Pedra Branca do Amapari,1600154,247.26791241926682
398,Brasil,BR,Porto Grande,1600535,21.38413844473605
398,Brasil,BR,Serra do Navio,1600055,68.64961562322682
398,Brasil,BR,Tartarugalzinho,1600709,530.0467496655838
401,Brasil,BR,Oriximiná,1505304,2010.3403981753736
404,Brasil,BR,Altamira,1500602,3034.583542859854
404,Brasil,BR,São Félix do Xingu,1507300,1075.080837474889
411,Brasil,BR,Itaituba,1503606,216.40441515927134
428,Brasil,BR,Xambioá,1722107,81.2416356796248
433,Brasil,BR,Parauapebas,1505536,85.15532432045639
438,Brasil,BR,Breves,1501808,54.39944835670395
438,Brasil,BR,Cachoeira do Arari,1502004,27.13919240127224
438,Brasil,BR,Curralinho,1502806,0.1620717363540803
438,Brasil,BR,Soure,1507904,54.18491673905159
447,Brasil,BR,Barcelos,1300409,27.319159046759253
454,Brasil,BR,Calçoene,1600204,442.6952788934757
454,Brasil,BR,Oiapoque,1600501,192.14884121282017
458,Brasil,BR,Presidente Figueiredo,1303536,199.38169235158264
460,Brasil,BR,Itaituba,1503606,5806.435334922536
460,Brasil,BR,Trairão,1508050,1546.005700304492
465,Brasil,BR,Jutaí,1302306,59.82400246248899
466,Brasil,BR,Caracaraí,1400209,27.151135152448887
467,Brasil,BR,Itapuã do Oeste,1101104,2609.8170840315825
469,Brasil,BR,Itaituba,1503606,47365.23678488884
469,Brasil,BR,Jacareacanga,1503754,4686.84229885552
469,Brasil,BR,Maués,1302900,1237.550808511559
470,Brasil,BR,Manaus,1302603,303.433116859287
474,Brasil,BR,Jutaí,1302306,26.592787339984266
475,Brasil,BR,Maués,1302900,23.664733878199538
