id,admin_country,admin_country_code,admin_name_field,admin_id_field,intersected_area_ha
1,Bolivia,BO,San Ignacio,BO080501,55.14289285618172
1,Bolivia,BO,Villa Tunari,BO031003,68.91815645111677
2,Bolivia,BO,Mapiri,BO020607,121.95594022188823
3,Bolivia,BO,Puerto Rico,BO090201,40.84310010176938
9,Bolivia,BO,Shinahota,BO031602,27.54367016029852
13,Bolivia,BO,Ixiamas,BO021501,27.29148927883555
24,Bolivia,BO,Baures,BO080802,27.355164274357364
24,Bolivia,BO,Magdalena,BO080801,54.8474714093655
33,Bolivia,BO,San Javier,BO080102,5.101490878449149
178,Bolivia,BO,Puerto Villarroel,BO031205,21.317296289450447
202,Bolivia,BO,Nueva Esperanza,BO090501,147.91659426539206
370,Brasil,BR,Oriximiná,1505304,68.58510225810662
373,Brasil,BR,Rorainópolis,1400472,40.75384312633868
380,Brasil,BR,Alenquer,1500404,61.00569816228064
380,Brasil,BR,Almeirim,1500503,3295.7969659431883
389,Brasil,BR,Pedra Branca do Amapari,1600154,394.63964004641207
394,Brasil,BR,Manaus,1302603,72.25697339755604
396,Brasil,BR,Maués,1302900,12476.262691180125
397,Brasil,BR,Lábrea,1302405,252.1496360096377
397,Brasil,BR,Porto Velho,1100205,532.8828234892735
398,Brasil,BR,Calçoene,1600204,3005.3590161550246
398,Brasil,BR,Mazagão,1600402,27.428100912482094
398,Brasil,BR,Oiapoque,1600501,2070.9436072386666
398,Brasil,BR,Pedra Branca do Amapari,1600154,303.4991048077575
398,Brasil,BR,Porto Grande,1600535,21.384138444736045
398,Brasil,BR,Serra do Navio,1600055,68.64961562322682
398,Brasil,BR,Tartarugalzinho,1600709,639.520537166796
401,Brasil,BR,Oriximiná,1505304,2094.292481620399
404,Brasil,BR,Altamira,1500602,3041.4865995664763
404,Brasil,BR,São Félix do Xingu,1507300,1081.9519462958133
411,Brasil,BR,Itaituba,1503606,341.5528245271913
428,Brasil,BR,Xambioá,1722107,94.78059912510908
433,Brasil,BR,Parauapebas,1505536,85.15532432045639
438,Brasil,BR,Breves,1501808,54.39944835670395
438,Brasil,BR,Cachoeira do Arari,1502004,54.24547262851607
438,Brasil,BR,Curralinho,1502806,0.1620717363540803
438,Brasil,BR,Soure,1507904,54.18491673905159
444,Brasil,BR,Marabá,1504208,81.85752756722087
447,Brasil,BR,Barcelos,1300409,27.319159046759246
454,Brasil,BR,Calçoene,1600204,684.0241086706365
454,Brasil,BR,Oiapoque,1600501,192.14884121348805
458,Brasil,BR,Presidente Figueiredo,1303536,226.44368106858835
460,Brasil,BR,Itaituba,1503606,5906.991109790034
460,Brasil,BR,Trairão,1508050,1565.2270393231533
465,Brasil,BR,Jutaí,1302306,73.4199468460537
466,Brasil,BR,Caracaraí,1400209,27.151135152448887
467,Brasil,BR,Cujubim,1100940,61.45344920174533
467,Brasil,BR,Itapuã do Oeste,1101104,2747.3034195696255
469,Brasil,BR,Itaituba,1503606,49166.30509410925
469,Brasil,BR,Jacareacanga,1503754,5192.097710279661
469,Brasil,BR,Maués,1302900,1314.893968899294
