id,admin_country,admin_country_code,admin_name_field,admin_id_field,intersected_area_ha
BO60008_0,Bolivia,BO,Ixiamas,BO021501,27.255835750849045
BO60012_0,Bolivia,BO,Guanay,BO020602,51.02251236397334
BO60012_0,Bolivia,BO,Mapiri,BO020607,119.17714058123337
BO60018_0,Bolivia,BO,Reyes,BO080301,13.03990016034797
BO60033_0,Bolivia,BO,San Ignacio,BO080501,55.14289285618172
BO60042_0,Bolivia,BO,TIOC-TIM,BO080901,27.59333248474399
BO60054_0,Bolivia,BO,Magdalena,BO080801,27.43385730508602
BO60055_0,Bolivia,BO,Magdalena,BO080801,27.413614104279475
BR1001_0,Brasil,BR,Nova Esperança do Piriá,1504950,13.405564417583545
BR1001_0,Brasil,BR,Paragominas,1505502,14.094080364145798
BR1101_0,Brasil,BR,São Gabriel da Cachoeira,1303809,172.33357433620387
BR11201_0,Brasil,BR,Juína,5105150,33.977416037740056
BR22902_0,Brasil,BR,Apiacás,5100805,41.092512340434304
BR23001_0,Brasil,BR,Bannach,1501253,630.0212908476942
BR23001_0,Brasil,BR,Cumaru do Norte,1502764,15780.344445903816
BR23001_0,Brasil,BR,Ourilândia do Norte,1505437,35403.59181814585
BR23001_0,Brasil,BR,São Félix do Xingu,1507300,160.8863966966706
BR23001_0,Brasil,BR,Tucumã,1508084,163.4703352224735
BR26001_0,Brasil,BR,Bom Jesus do Tocantins,1501576,83.48258592856473
BR28701_0,Brasil,BR,Altamira,1500602,171.47287826189137
BR29801_0,Brasil,BR,Itaituba,1503606,92.45338105200601
BR29801_0,Brasil,BR,Jacareacanga,1503754,48118.99473577039
BR3002_0,Brasil,BR,São Félix do Xingu,1507300,2058.71794911764
BR33601_0,Brasil,BR,Vilhena,1100304,1354.821100434922
BR33801_0,Brasil,BR,São José do Xingu,5107354,1.2908403236532815
BR37901_0,Brasil,BR,Normandia,1400407,21.01866607940991
BR37901_0,Brasil,BR,Uiramutã,1400704,94.82631714492169
BR38902_0,Brasil,BR,Altamira,1500602,473.8439781322172
BR39501_0,Brasil,BR,Guajará-Mirim,1100106,27.513924266318146
BR40201_0,Brasil,BR,Almeirim,1500503,121.79819889068347
BR40701_0,Brasil,BR,Espigão D'Oeste,1100098,842.5598966978421
BR40801_0,Brasil,BR,Guajará-Mirim,1100106,70.91185830679169
BR40901_0,Brasil,BR,Jacareacanga,1503754,2615.417404540561
BR4201_0,Brasil,BR,Aripuanã,5101407,891.2254109800549
BR42601_0,Brasil,BR,Juína,5105150,62.01112030348048
BR43001_0,Brasil,BR,Cacoal,1100049,16.569881443616115
BR43001_0,Brasil,BR,Rondolândia,5107578,356.1599068425931
